Título,Precio (€),Superficie (m²),€/m²,Habitaciones,Baños,Estado,Link
"Piso en paseo del General Martínez Campos, 17, Almagro, Madrid",2880000,3,960000.0,3 hab.,,"Mavericks Inmobiliaria comercializa esta propiedad en Paseo General Martínez Campos. Se trata de una vivienda que de origen era de 4 dormitorios, por lo que tras una ligera reforma, podrían convertirse en una vivienda de 3 o de 4 dormitorios. Actualmente tiene 2.
La distribución es la siguiente: al entrar, tenemos un amplio salón-comedor, con 3 balcones a la calle, orientación sur y con muchísima luz. Tras el salón-comedor contamos con la cocina totalmente equipada tipo isla. Al atravesar el salón-comedor, contamos con un espacio inmenso, que",https://www.idealista.com/inmueble/107759496/
"Piso en calle de Covarrubias, Trafalgar, Madrid",2100000,6,350000.0,6 hab.,,"PROMORA Inmobiliaria vende magnífica vivienda de lujo exterior en esquina, con una plaza de garaje y acceso a aparcamiento para residentes, con 7 amplios huecos exteriores a la calle, lo que garantiza mucha luz natural y unas grandes posibilidades de reforma por su distribución, en una de las Calles más prestigiosas del distrito de Chamberí, al lado del barrio de Almagro.
Con 274 metros cuadrados construidos, su distribución actual con dos accesos bien diferenciados, uno principal y uno de servicio, dan cabida a seis dormitorios y tres baños,",https://www.idealista.com/inmueble/107271124/
"Piso en calle de Modesto Lafuente, Almagro, Madrid",1245000,3,415000.0,3 hab.,,"PISO EXTERIOR REFORMADO A ESTRENAR CON TERRAZA EN ALMAGRO
Aproperties pone a la venta este magnífico piso exterior reformado a estrenar en la calle Modesto Lafuente en el barrio de Almagro. Se trata un segundo piso de 120 m² construidos muy bien distribuidos.
La zona de día cuenta con un amplio salón comedor, con acceso a una preciosa y agradable terraza de unos 8 m², que da gran amplitud a toda la estancia. La cocina es independiente y está completamente equipada con electrodomésticos de alta gama, panelados y con una agradable barra de desa",https://www.idealista.com/inmueble/107695521/
"Piso en paseo del General Martínez Campos, Almagro, Madrid",1790000,3,596666.67,3 hab.,,"UNICA INMOBILIARIA presenta (EN EXCLUSIVA) esta fantástica vivienda toda exterior recién reformada y en una ubicación inmejorable en el barrio de ALMAGRO en el distrito de Chamberí.
Es una magnifica propiedad para todos los que buscan una vivienda en una de las zonas más premium de Madrid.
Su elegante reforma con materiales de primera calidad, llevada a cabo por el prestigioso equipo de Tristan Domecq, hace que este inmueble sea una joya situada en una ubicación de lujo. Consta de 128 M2 que se distribuye en 3 habitaciones dobles, dos baños,",https://www.idealista.com/inmueble/107621097/
"Piso en calle de Jerónimo de la Quintana, 7, Trafalgar, Madrid",615000,3,205000.0,3 hab.,,"GLOBALPISO CHAMBERÍ VENDE EN EXCLUSIVA: Piso exterior con 65 m2, de 3 dormitorios. Se encuentra en una segunda planta exterior, lo que permite disfrutar de una excelente luz natural. El tercero de los dormitorios ha sido habilitado como despacho, ideal para quienes necesiten un espacio de trabajo tranquilo y separado. El piso dispone de 5 ventanas, distribuidas en el salón, dormitorio, baño y despacho, que ofrecen vistas a la calle Jerónimo de la Quintana, una zona muy animada y bien comunicada.
El edificio cuenta con portero físico, ascensor",https://www.idealista.com/inmueble/107765880/
"Piso en Almagro, Madrid",1450000,2,725000.0,2 hab.,,"ÚNICA Inmobiliaria pone a su disposición magnífica vivienda exterior con terraza en pleno triángulo de oro del prestigioso barrio de Almagro.
El inmueble se ubica en una quinta planta exterior con una gran terraza alargada que se accede desde el salón y desde la cual se disfruta de unas envidiables vistas. La luz natural está garantizada debido a la altura y al tratarse de un piso exterior.
El inmueble se encuentra en buen estado para entrar a vivir y si se desearan hacer actualizaciones su distribución da lugar a varias posibilidades.
Con r",https://www.idealista.com/inmueble/107860784/
"Ático en paseo del General Martínez Campos, Almagro, Madrid",2600000,2,1300000.0,2 hab.,,"BARNES Madrid presenta este elegante y sofisticado piso ubicado en la mejor zona de Almagro, en un edificio representativo con conserje y portería de gran presencia. Esta propiedad, completamente reformada con las más altas calidades, ofrece un diseño moderno y funcional que combina a la perfección estilo, confort y tecnología.
La vivienda cuenta con un espacioso hall de entrada que da paso a un impresionante salón-comedor con amplios ventanales, que llenan el espacio de luz natural y aportan una sensación de amplitud y bienestar. La cocina, d",https://www.idealista.com/inmueble/107490583/
"Piso en calle de Zurbano, Nuevos Ministerios-Ríos Rosas, Madrid",2430000,5,486000.0,5 hab.,,"QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services.
Quartiers presenta este espectacular piso con terraza, que destaca por su inmejorable ubicación en la zona de Almagro, rodeada de todo tipo de servicios y muy bien comunicado. Ocupa la tercera planta de una finca con ascensor y portero. El interior de la vivienda, que necesita reforma, cuenta con una amplísima zona de recibo con 3 salones conectados, con salida a una buena terraza exterior. El piso dispone de dos entradas, una principal, con un hall muy amplio",https://www.idealista.com/inmueble/107249739/
"Piso en Gaztambide, Madrid",720000,2,360000.0,2 hab.,,"UNICA ofrece este magnifico y luminoso piso con vistas a la sierra en la mejor zona de Gaztambide, ubicado en el sexto piso de un edificio con ascensor y con una superficie total de 92m² esta vivienda posee grandes posibilidades de reforma, distribución y espacio para hacer de esta vivienda un lugar con estilo propio y encantador en el corazón de Madrid.
Distribuida en 2 dormitorios y 1 baño, dispone de aire acondicionado (frío) y calefacción central con contador individual asegurando el confort durante todo el año. con suelos de parquet y car",https://www.idealista.com/inmueble/107490823/
"Piso en paseo del General Martínez Campos, Almagro, Madrid",2150000,4,537500.0,4 hab.,,"Ubicado en el prestigioso barrio de Chamberí, en la codiciada zona de Almagro, este exquisito piso de lujo ofrece una oportunidad única para aquellos que buscan una residencia que combine elegancia, comodidad y ubicación privilegiada. Con una superficie de 207 metros cuadrados este hogar impresiona desde el primer momento.
Este piso se encuentra en la tercera planta de un elegante edificio, garantizando privacidad y tranquilidad. Además, el piso recibe una abundante cantidad de luz natural durante todo el día, creando un ambiente luminoso y ac",https://www.idealista.com/inmueble/106273948/
